Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2021-03-24 12:18:58,false,"Mt Pleasant Running","6.01","723","01:03:06","145","176","3.3","162","209","10:30","7:03","793","782","0.95","0.0","0.0","0.0","0.0","0.0","1:03:06","0:00","0.0","0:00","No","00:06.27","7","0.0"
Running,2021-03-23 10:45:21,false,"Mt Pleasant Running","4.01","570","00:47:07","151","179","3.4","156","183","11:44","8:23","314","303","0.88","0.0","0.0","0.0","0.0","0.0","47:07","0:00","0.0","0:00","No","00:06.68","5","0.0"
Running,2021-03-22 13:33:29,false,"Mt Pleasant Running","6.72","901","01:09:52","158","179","4.4","163","204","10:24","5:16","676","699","0.95","0.0","0.0","0.0","0.0","0.0","1:09:52","0:00","0.0","0:00","No","07:38.99","7","0.0"
Running,2021-03-20 13:11:55,false,"Mt Pleasant Running","7.32","959","01:10:23","162","182","5.0","169","187","9:37","7:45","689","708","0.99","0.0","0.0","0.0","0.0","0.0","1:10:23","0:00","0.0","0:00","No","03:29.62","8","0.0"
Running,2021-03-18 13:17:41,false,"Mt Pleasant Running","5.48","709","00:52:08","164","186","4.8","169","209","9:31","5:27","224","220","1.00","0.0","0.0","0.0","0.0","0.0","52:08","0:00","0.0","0:00","No","05:11.74","6","0.0"
Running,2021-03-16 11:23:40,false,"Mt Pleasant Running","4.01","488","00:40:52","147","172","3.5","163","195","10:11","7:28","460","489","0.97","0.0","0.0","0.0","0.0","0.0","40:52","0:00","0.0","0:00","No","00:11.84","5","0.0"
Running,2021-03-15 08:38:56,false,"Mt Pleasant Running","5.01","617","00:46:15","160","179","4.3","172","183","9:13","8:07","335","319","1.02","0.0","0.0","0.0","0.0","0.0","46:15","0:00","0.0","0:00","No","00:10.30","6","0.0"
Running,2021-03-12 12:06:54,false,"Mt Pleasant Running","3.61","512","00:43:45","148","178","3.4","152","178","12:07","9:16","304","291","0.87","0.0","0.0","0.0","0.0","0.0","43:45","0:00","0.0","0:00","No","06:56.57","4","0.0"
Running,2021-03-09 10:44:34,false,"Mt Pleasant Running","4.03","527","00:40:58","157","176","4.0","164","175","10:10","8:41","224","227","0.96","0.0","0.0","0.0","0.0","0.0","40:58","0:00","0.0","0:00","No","00:19.42","5","0.0"
Running,2021-03-08 08:21:10,false,"Mt Pleasant Running","5.06","671","00:51:06","160","187","4.7","168","211","10:06","5:16","251","259","0.95","0.0","0.0","0.0","0.0","0.0","51:06","0:00","0.0","0:00","No","00:45.34","6","0.0"
Running,2021-03-06 11:01:31,false,"Mt Pleasant Running","6.50","889","01:09:03","159","177","4.8","162","211","10:37","6:20","580","580","0.94","0.0","0.0","0.0","0.0","0.0","1:09:03","0:00","0.0","0:00","No","06:28.70","7","0.0"
Running,2021-03-03 14:05:44,false,"Mt Pleasant Running","5.01","669","00:49:01","163","178","4.8","164","179","9:47","7:54","332","332","1.00","0.0","0.0","0.0","0.0","0.0","49:01","0:00","0.0","0:00","No","04:08.88","6","0.0"
Running,2021-03-01 16:06:57,false,"Mt Pleasant Running","4.16","633","00:55:57","148","176","3.9","142","223","13:27","7:05","557","559","0.84","0.0","0.0","0.0","0.0","0.0","55:57","0:00","0.0","0:00","No","02:09.99","5","0.0"
Running,2021-02-26 14:51:13,false,"Mt Pleasant Running","5.00","673","00:58:02","152","175","4.2","152","202","11:36","5:12","221","216","0.91","0.0","0.0","0.0","0.0","0.0","58:02","0:00","0.0","0:00","No","00:08.30","6","0.0"
Running,2021-02-24 08:29:18,false,"Pleasantville Running","4.02","536","00:41:23","158","173","4.5","161","173","10:19","8:46","303","188","0.97","0.0","0.0","0.0","0.0","0.0","41:23","0:00","0.0","0:00","No","00:11.42","5","0.0"
Running,2021-02-22 08:44:52,false,"Mt Pleasant Running","3.06","444","00:39:23","145","166","3.4","153","169","12:51","9:24","305","302","0.82","0.0","0.0","0.0","0.0","0.0","39:23","0:00","0.0","0:00","No","00:42.86","4","0.0"
Running,2021-02-20 13:49:27,false,"Mt Pleasant Running","4.01","509","00:40:33","152","172","4.0","162","172","10:06","8:44","249","253","0.98","0.0","0.0","0.0","0.0","0.0","40:33","0:00","0.0","0:00","No","00:09.59","5","0.0"
